date,Load,Performance
2018-07-14,131.27,
2018-07-16,144.24,
2018-07-18,98.64,1.734375
2018-07-19,16.47,
2018-07-20,88.51,1.8181818181818181
2018-07-21,214.7,1.6791044776119404
2018-07-24,117.89,
2018-07-26,122.43,
2018-07-27,62.43,1.662162162162162
2018-07-29,291.11,1.708955223880597
2018-07-30,23.48,
2018-08-01,121.88,
2018-08-02,115.95,1.7709923664122138
2018-08-03,130.17,1.776978417266187
2018-08-04,127.44,1.7164179104477613
2018-08-08,144.03,
2018-08-09,116.97,
2018-08-10,89.07,1.5703703703703704
2018-08-11,47.42,
2018-08-12,258.46,
2018-08-14,127.79,
2018-08-15,132.88,1.8455882352941178
2018-08-17,98.7,
2018-08-18,174.72,
2018-08-19,272.52,1.6744186046511629
2018-08-21,33.98,1.5794392523364487
2018-08-22,69.99,1.8644067796610169
2018-08-23,184.18,
2018-08-24,100.65,2.0
2018-08-27,99.57,1.6758620689655173
2018-08-28,112.15,1.811023622047244
2018-08-29,51.3,1.7457627118644068
2018-08-31,116.9,
2018-09-01,202.16,1.6538461538461537
2018-09-02,340.83,
2018-09-03,87.01,
2018-09-06,97.25,1.992537313432836
2018-09-07,94.01,1.9407407407407407
2018-09-08,152.78,1.686131386861314
2018-09-09,75.62,1.8925619834710743
2018-09-11,118.79,1.6692307692307693
2018-09-12,62.94,1.661764705882353
2018-09-13,66.77,1.7967479674796747
2018-09-15,129.53,
2018-09-16,158.06,1.6666666666666667
2018-09-18,91.36,1.9612403100775193
2018-09-19,142.5,
2018-09-21,47.42,
2018-09-22,165.81,1.748091603053435
2018-09-25,101.55,
2018-09-27,127.96,1.7407407407407407
2018-09-30,134.87,1.9923076923076923
2018-10-01,58.74,1.7313432835820894
2018-10-03,70.0,1.7050359712230216
2018-10-04,104.7,
2018-10-06,103.21,
2018-10-11,73.26,1.9166666666666667
2018-10-13,185.39,1.5602836879432624
2018-10-16,34.94,1.6347826086956523
2018-10-17,71.0,1.8222222222222222
2018-10-18,90.82,1.7112676056338028
2018-10-20,151.73,1.6950354609929077
2018-10-21,94.39,1.8478260869565217
2018-10-25,86.43,1.6875
2018-10-26,93.63,
2018-10-27,180.85,1.588235294117647
2018-10-30,70.99,1.9242424242424243
2018-10-31,91.07,
2018-11-01,75.83,1.7357142857142858
2018-11-04,210.96,1.7605633802816902
2018-11-05,71.47,1.8467153284671534
2018-11-07,99.77,1.9
2018-11-08,89.29,1.8461538461538463
2018-11-10,268.52,1.7642857142857142
2018-11-13,42.47,1.8571428571428572
2018-11-15,88.48,1.6845637583892616
2018-11-16,67.53,1.900709219858156
2018-11-17,121.68,2.051851851851852
2018-11-18,198.88,1.669064748201439
2018-11-19,88.48,1.9015151515151516
2018-11-20,126.62,
2018-11-21,109.44,1.9411764705882353
2018-11-22,173.21,1.855072463768116
2018-11-25,145.94,
2018-11-28,86.14,
2018-12-03,70.58,1.8473282442748091
2018-12-04,74.63,1.7883211678832116
2018-12-06,161.42,
2018-12-07,61.87,
2018-12-08,170.81,1.9574468085106382
2018-12-09,163.39,
2018-12-11,87.47,1.891304347826087
2018-12-12,63.68,
2018-12-13,89.49,1.8962962962962964
2018-12-14,40.04,1.8387096774193548
2018-12-15,180.0,1.673758865248227
2018-12-16,176.75,1.9172932330827068
2018-12-18,91.51,1.9
2018-12-19,96.42,1.9275362318840579
2018-12-21,100.0,1.6853146853146854
2018-12-23,121.86,1.8928571428571428
2018-12-24,95.43,
2018-12-25,113.79,2.007575757575758
2018-12-26,86.95,1.9689922480620154
2018-12-27,133.21,
2018-12-29,132.96,
2018-12-31,116.58,
2019-01-02,103.33,
2019-01-07,173.7,1.9172932330827068
2019-01-08,74.67,1.9782608695652173
2019-01-10,115.06,1.9568345323741008
2019-01-11,87.73,
2019-01-13,209.27,1.7761194029850746
2019-01-15,130.98,
2019-01-17,120.77,1.7318840579710144
2019-01-18,91.76,1.9635036496350364
2019-01-19,211.62,1.7575757575757576
2019-01-20,180.0,1.4960629921259843
2019-01-23,107.42,
2019-01-24,68.34,1.9833333333333334
2019-01-25,70.35,1.8428571428571427
2019-01-26,143.59,1.9130434782608696
2019-01-27,269.31,1.9708029197080292
2019-01-28,21.43,
2019-01-31,72.99,1.9338842975206612
2019-02-01,81.66,1.8592592592592592
2019-02-02,197.16,
2019-02-03,196.57,
2019-02-05,79.36,1.889763779527559
2019-02-06,122.53,
2019-02-07,19.92,
2019-02-08,108.52,
2019-02-09,214.45,
2019-02-10,214.34,1.9682539682539681
2019-02-12,75.1,1.9285714285714286
2019-02-13,147.99,
2019-02-14,72.55,1.873015873015873
2019-02-15,92.29,1.7234042553191489
2019-02-18,128.62,2.015267175572519
2019-02-19,138.43,
2019-02-20,160.03,1.9534883720930232
2019-02-22,91.29,1.8823529411764706
2019-02-23,203.27,
2019-02-24,181.61,1.7238805970149254
2019-02-26,116.84,
2019-02-28,187.52,1.6865671641791045
2019-03-01,97.47,1.8244274809160306
2019-03-02,197.61,
2019-03-03,143.28,2.0393700787401574
2019-03-04,89.64,1.9763779527559056
2019-03-06,55.49,
2019-03-07,124.85,
2019-03-08,103.1,
2019-03-09,271.34,
2019-03-10,137.68,1.7209302325581395
2019-03-12,85.23,1.75
2019-03-13,94.16,
2019-03-14,117.01,
2019-03-15,22.77,
2019-03-16,101.76,1.6901408450704225
2019-03-17,156.6,
2019-03-19,79.49,1.8270676691729324
2019-03-20,49.38,1.6946564885496183
2019-03-21,204.52,1.5564516129032258
2019-03-22,215.24,1.637037037037037
2019-03-23,245.94,1.5846153846153845
2019-03-24,274.09,1.6220472440944882
2019-03-26,20.43,
2019-03-29,42.48,
2019-03-31,162.33,1.55
2019-04-01,105.1,1.6474820143884892
2019-04-02,69.49,1.7246376811594204
2019-04-03,104.5,1.4672131147540983
2019-04-04,320.0,1.627906976744186
2019-04-05,330.0,1.6904761904761905
2019-04-06,85.25999999999999,
2019-04-07,177.45,
2019-04-09,20.0,
2019-04-10,89.82,1.8571428571428572
2019-04-11,38.55,1.4609375
2019-04-12,90.81,1.822695035460993
2019-04-13,194.21,
2019-04-14,136.91,1.5777777777777777
2019-04-15,31.66,1.4873949579831933
2019-04-16,118.87,1.7
2019-04-17,98.93,1.7410071942446044
2019-04-18,56.27,1.7317073170731707
2019-04-19,111.88,1.7573529411764706
2019-04-20,168.09,1.606060606060606
2019-04-21,169.56,1.763779527559055
2019-04-23,67.98,1.8253968253968254
2019-04-24,84.77,1.8796992481203008
2019-04-25,106.53,1.6870229007633588
2019-04-26,27.05,
2019-04-27,118.94,1.8432835820895523
2019-04-28,201.79,1.7238805970149254
2019-04-29,28.38,1.5384615384615385
2019-04-30,95.74,1.7769230769230768
2019-05-01,217.56,1.474074074074074
2019-05-02,235.46,1.5555555555555556
2019-05-04,121.71000000000001,1.547945205479452
2019-05-05,283.9,1.5244755244755244
2019-05-07,20.1,
2019-05-09,129.55,
2019-05-10,68.61,2.4881889763779528
2019-05-11,163.5,1.7238805970149254
2019-05-13,61.49,1.6218487394957983
2019-05-15,75.37,1.7938931297709924
2019-05-16,119.09,1.781954887218045
2019-05-17,95.5,1.728
2019-05-18,93.31,1.676923076923077
2019-05-19,218.62,
2019-05-20,49.93,1.9230769230769231
2019-05-28,69.56,1.8032786885245902
2019-05-29,96.78,1.828358208955224
2019-05-30,103.12,1.7481481481481482
2019-05-31,106.21,1.676056338028169
2019-06-01,163.24,1.686131386861314
2019-06-02,197.07,1.6567164179104477
2019-06-04,62.47,1.7424242424242424
2019-06-06,149.64,1.5664335664335665
2019-06-07,140.49,1.7318840579710144
2019-06-08,232.11,1.5693430656934306
2019-06-09,168.01,1.626865671641791
2019-06-11,87.03,1.7067669172932332
2019-06-12,103.13,1.6344827586206896
2019-06-13,152.26,1.5797101449275361
2019-06-14,120.88,1.6571428571428573
2019-06-15,194.83,
2019-06-16,154.76,1.7633587786259541
2019-06-17,75.68,1.6929133858267718
2019-06-19,51.86,1.565891472868217
2019-06-20,90.32,1.6764705882352942
2019-06-21,113.86,1.7153284671532847
2019-06-22,39.97,
2019-06-23,268.03,1.6888888888888889
2019-06-25,111.09,1.60431654676259
2019-06-26,24.64,1.368421052631579
2019-06-27,100.24,1.635036496350365
2019-06-28,83.15,1.5211267605633803
2019-06-29,241.07,1.4964028776978417
2019-06-30,118.25,1.6434108527131783
2019-07-02,73.31,1.8257575757575757
2019-07-03,360.36,1.625
2019-07-06,85.33,1.856115107913669
2019-07-07,282.53,1.6030534351145038
2019-07-10,81.83,0.9774436090225563
2019-07-11,87.57,1.7388059701492538
2019-07-12,120.0,
2019-07-13,63.91,1.858267716535433
2019-07-17,90.31,1.6027397260273972
2019-07-18,141.6,
