"Timestamp","Type","Value"
"2024-01-28 06:36:00","Time Awake","1.1936011"
"2024-01-28 06:36:00","Time In Deep Sleep","1.8345083"
"2024-01-28 06:36:00","Pulse","50"
"2024-01-28 06:36:00","HRV","61.13293"
"2024-01-28 06:36:00","Number Times Woken","11"
"2024-01-28 06:36:00","Time In REM Sleep","1.8825339"
"2024-01-28 06:36:00","Sleep Hours","6.99"
"2024-01-28 06:50:50","Weight Pounds","175.00"
"2024-01-29 05:46:00","Time In REM Sleep","1.425665"
"2024-01-29 05:46:00","Time In Deep Sleep","1.770395"
"2024-01-29 05:46:00","Number Times Woken","17"
"2024-01-29 05:46:00","HRV","44.221107"
"2024-01-29 05:46:00","Pulse","55"
"2024-01-29 05:46:00","Sleep Hours","6.53"
"2024-01-29 05:46:00","Notes","WHOOP Recovery Score: 34"
"2024-01-29 05:46:00","Time Awake","1.1455414"
"2024-01-29 05:46:00","Time In Light Sleep","3.3324878"
"2024-01-30 04:59:00","Time In Light Sleep","3.2602"
"2024-01-30 04:59:00","Notes","WHOOP Recovery Score: 58"
"2024-01-30 04:59:00","Time Awake","0.58479834"
"2024-01-30 04:59:00","Time In Deep Sleep","1.7383753"
"2024-01-30 04:59:00","Sleep Hours","6.91"
"2024-01-30 04:59:00","Time In REM Sleep","1.9065983"
"2024-01-30 04:59:00","Number Times Woken","6"
"2024-01-30 04:59:00","Pulse","49"
"2024-01-30 04:59:00","HRV","60.71002"
"2024-01-30 05:20:48","Weight Pounds","176.20"
"2024-01-31 05:52:00","Pulse","55"
"2024-01-31 05:52:00","HRV","50.418518"
"2024-01-31 05:52:00","Number Times Woken","16"
"2024-01-31 05:52:00","Sleep Hours","7.18"
"2024-01-31 05:52:00","Time In Deep Sleep","1.6262242"
"2024-01-31 05:52:00","Time In REM Sleep","2.6355753"
"2024-01-31 05:52:00","Time In Light Sleep","2.9156966"
"2024-01-31 05:52:00","Notes","WHOOP Recovery Score: 41"
